terraform_resource,provider_name,azure_resource_type
azurerm_ai_foundry,microsoft.machinelearningservices,workspaces/hub1
azurerm_ai_foundry_project,microsoft.machinelearningservices,workspaces/project1
azurerm_api_connection,microsoft.web,connections/example-connection
azurerm_app_service,microsoft.web,sites/instance1
azurerm_app_service_certificate,microsoft.web,certificates/certificate1
azurerm_app_service_certificate_binding,microsoft.web,"certificates/mywebsite.com"""
azurerm_app_service_environment_v3,microsoft.web,hostingenvironments/myappserviceenv
azurerm_app_service_managed_certificate,microsoft.web,certificates/customhost.contoso.com
azurerm_app_service_plan,microsoft.web,serverfarms/instance1
azurerm_app_service_source_control,microsoft.web,sites/site1
azurerm_application_gateway,microsoft.network,applicationgateways/mygateway1
azurerm_application_security_group,microsoft.network,applicationsecuritygroups/securitygroup1
azurerm_arc_machine,microsoft.hybridcompute,machines/machine1
azurerm_arc_machine_automanage_configuration_assignment,microsoft.automanage,configurationprofileassignments/default
azurerm_arc_private_link_scope,microsoft.hybridcompute,privatelinkscopes/privatelinkscope1
azurerm_automanage_configuration,microsoft.automanage,configurationprofiles/configurationprofile1
azurerm_automation_account,microsoft.automation,automationaccounts/account1
azurerm_availability_set,microsoft.compute,availabilitysets/webavailset
azurerm_bastion_host,microsoft.network,bastionhosts/instance1
azurerm_capacity_reservation_group,microsoft.compute,capacityreservationgroups/capacityreservationgroup1
azurerm_cdn_frontdoor_firewall_policy,microsoft.network,frontdoorwebapplicationfirewallpolicies/firewallpolicy1
azurerm_cdn_frontdoor_profile,microsoft.cdn,profiles/myprofile1
azurerm_cdn_profile,microsoft.cdn,profiles/myprofile1
azurerm_communication_service,microsoft.communication,communicationservices/communicationservice1
azurerm_container_app,microsoft.app,"containerapps/mycontainerapp"""
azurerm_container_app_environment,microsoft.app,"managedenvironments/myenvironment"""
azurerm_container_app_environment_custom_domain,microsoft.app,"managedenvironments/myenvironment"""
azurerm_container_app_job,microsoft.app,"jobs/example-container-app-job"""
azurerm_container_registry,microsoft.containerregistry,registries/myregistry1
azurerm_custom_ip_prefix,microsoft.network,customipprefixes/customipprefix1
azurerm_database_migration_service,microsoft.datamigration,services/database_migration_service1
azurerm_dedicated_host_group,microsoft.compute,hostgroups/group1
azurerm_dev_center,microsoft.devcenter,devcenters/{devcentername}
azurerm_dev_center_network_connection,microsoft.devcenter,networkconnections/networkconnection1
azurerm_dev_center_project,microsoft.devcenter,projects/{projectname}
azurerm_dev_test_global_vm_shutdown_schedule,microsoft.devtestlab,schedules/shutdown-computevm-samplevm
azurerm_dev_test_lab,microsoft.devtestlab,labs/lab1
azurerm_disk_access,microsoft.compute,diskaccesses/diskaccess1
azurerm_disk_encryption_set,microsoft.compute,diskencryptionsets/encryptionset1
azurerm_dns_zone,microsoft.network,dnszones/zone1
azurerm_email_communication_service,microsoft.communication,emailservices/emailcommunicationservice1
azurerm_express_route_circuit,microsoft.network,expressroutecircuits/myexpressroute
azurerm_express_route_gateway,microsoft.network,expressroutegateways/myexpressroutegateway
azurerm_express_route_port,microsoft.network,expressrouteports/port1
azurerm_firewall,microsoft.network,azurefirewalls/testfirewall
azurerm_firewall_policy,microsoft.network,firewallpolicies/policy1
azurerm_frontdoor,microsoft.network,frontdoors/frontdoor1
azurerm_frontdoor_firewall_policy,microsoft.network,frontdoorwebapplicationfirewallpolicies/examplefdwafpolicy
azurerm_function_app,microsoft.web,sites/functionapp1
azurerm_function_app_active_slot,microsoft.web,"sites/site1"""
azurerm_function_app_flex_consumption,microsoft.web,sites/site1
azurerm_hdinsight_hadoop_cluster,microsoft.hdinsight,clusters/cluster1
azurerm_hdinsight_hbase_cluster,microsoft.hdinsight,clusters/cluster1
azurerm_hdinsight_interactive_query_cluster,microsoft.hdinsight,clusters/cluster1
azurerm_hdinsight_kafka_cluster,microsoft.hdinsight,clusters/cluster1
azurerm_hdinsight_spark_cluster,microsoft.hdinsight,clusters/cluster1
azurerm_healthcare_service,microsoft.healthcareapis,services/service_name
azurerm_healthcare_workspace,microsoft.healthcareapis,workspaces/workspace1
azurerm_image,microsoft.compute,images/image1
azurerm_iothub_device_update_account,microsoft.deviceupdate,accounts/account1
azurerm_ip_group,microsoft.network,ipgroups/myipgroup
azurerm_key_vault,microsoft.keyvault,vaults/vault1
azurerm_key_vault_managed_hardware_security_module,microsoft.keyvault,managedhsms/hsm1
azurerm_lb,microsoft.network,loadbalancers/lb1
azurerm_linux_function_app,microsoft.web,sites/site1
azurerm_linux_virtual_machine,microsoft.compute,virtualmachines/machine1
azurerm_linux_virtual_machine_scale_set,microsoft.compute,virtualmachinescalesets/scaleset1
azurerm_linux_web_app,microsoft.web,sites/site1
azurerm_local_network_gateway,microsoft.network,localnetworkgateways/lng1
azurerm_logic_app_integration_account,microsoft.logic,integrationaccounts/account1
azurerm_logic_app_standard,microsoft.web,sites/logicapp1
azurerm_logic_app_workflow,microsoft.logic,workflows/workflow1
azurerm_machine_learning_workspace,microsoft.machinelearningservices,workspaces/workspace1
azurerm_managed_disk,microsoft.compute,disks/manageddisk1
azurerm_managed_disk_sas_token,microsoft.compute,disks/manageddisk1
